Name,Length,Hebrew
Erev Pesach,Half,ערב פסח
Pesach I,Full,פסח
Pesach VI (CH''M),Half,ה דחוה'מ
Pesach VII,Full,שביעי של פסח
Yom HaZikaron,Half,יום הזכרון
Yom HaAtzma'ut,Full,יום העצמאות
Erev Shavuot,Half,ערב שבועות
Shavuot I,Full,שבועות
Erev Tish'a B'Av,Half,ערב תשעה באב
Tish'a B'Av,Full,תשעה באב
Erev Rosh Hashana,Half,ערב ראש השנה
Rosh Hashana 5775,Full,ראש השנה
Rosh Hashana II,Full,ראש השנה
Erev Yom Kippur,Half,ערב יום כיפור
Yom Kippur,Full,יום כיפור
Erev Sukkot,Half,ערב סוכות
Sukkot I,Full,סוכות
Sukkot VII (Hoshana Raba),Half,ה דחוה'מ
Shmini Atzeret,Full,הושענא רבה
